GPU Used,Text File,Total Characters,Total Tokens,Characters/Tokens,Entropy, Compression Ratio,Redundancy, Time (mins)
x,small_txt,197528,47418,4.17,0.8473216455388604,1.2899032035964522,0.7919891381503971
x,small_txt,197528,47418,4.17,0.8473216455388604,1.4633267182374143,0.7919891381503971
x,small_txt,197528,47418,4.17,0.8473216455388604,1.4633267182374143,0.7919891381503971
NVIDIA A10G,text8_1MB,1048575,198594,5.28,0.7790954986529337,1.3167737167107743,0.7575755889023379,11.94073608716329
NVIDIA A10G,text8_1MB_with_summary,1049202,198719,5.28,0.7790143723515586,1.314545721414942,0.757608455894318,9.947166709105174
NVIDIA A10G,text8_1MB_with_summary,1049202,198719,5.28,0.7770899335876218,1.3127310089000974,0.7582072480348524,8.243713243802388
